NUTS Geography,Year,ONS Functional Category,Flow Directions,Value
UKJ,2015,primary-utilities,exports,110
UKJ,2015,manufacturing,exports,2043
UKJ,2015,transport,exports,4082
UKJ,2015,travel,exports,3386
UKJ,2015,construction,exports,57
UKJ,2015,wholesale-motor,exports,1919
UKJ,2015,retail,exports,301
UKJ,2015,information-communication,exports,7509
UKJ,2015,real-estate,exports,7668
UKJ,2015,insurance-pension,exports,4200
UKJ,2015,financial,exports,3188
UKJ,2015,administrative-support,exports,1066
UKJ,2015,other,exports,277
UKJ,2015,all,exports,35806
UKK,2015,primary-utilities,exports,17
UKK,2015,manufacturing,exports,1556
UKK,2015,transport,exports,1110
UKK,2015,travel,exports,1596
UKK,2015,construction,exports,73
UKK,2015,wholesale-motor,exports,309
UKK,2015,retail,exports,88
UKK,2015,information-communication,exports,744
UKK,2015,real-estate,exports,915
UKK,2015,insurance-pension,exports,1371
UKK,2015,financial,exports,2325
UKK,2015,administrative-support,exports,171
UKK,2015,other,exports,32
UKK,2015,all,exports,10305
UKL,2015,primary-utilities,exports,18
UKL,2015,manufacturing,exports,1037
UKL,2015,transport,exports,560
UKL,2015,travel,exports,619
UKL,2015,construction,exports,10
UKL,2015,wholesale-motor,exports,29
UKL,2015,retail,exports,22
UKL,2015,information-communication,exports,268
UKL,2015,real-estate,exports,209
UKL,2015,insurance-pension,exports,1219
UKL,2015,financial,exports,979
UKL,2015,administrative-support,exports,54
UKL,2015,other,exports,6
UKL,2015,all,exports,5031
UKM,2015,primary-utilities,exports,922
UKM,2015,manufacturing,exports,1290
UKM,2015,transport,exports,1912
UKM,2015,travel,exports,2561
UKM,2015,construction,exports,102
