Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2012,BPM6,sweden,total-net-fdi-in-the-uk,all-activities,329.0,
inward,2013,BPM6,sweden,total-net-fdi-in-the-uk,all-activities,-25.0,
inward,2014,BPM6,sweden,total-net-fdi-in-the-uk,all-activities,211.0,
inward,2015,BPM6,sweden,total-net-fdi-in-the-uk,all-activities,601.0,
inward,2016,BPM6,sweden,total-net-fdi-in-the-uk,all-activities,-13.0,
inward,2017,BPM6,sweden,total-net-fdi-in-the-uk,all-activities,225.0,
inward,2018,BPM6,sweden,total-net-fdi-in-the-uk,all-activities,117.0,
inward,2019,BPM6,sweden,total-net-fdi-in-the-uk,all-activities,745.0,
inward,2010,BPM5,efta,total-net-fdi-in-the-uk,all-activities,5194.0,
inward,2011,BPM5,efta,total-net-fdi-in-the-uk,all-activities,-2221.0,
inward,2012,BPM6,efta,total-net-fdi-in-the-uk,all-activities,5765.0,
inward,2013,BPM6,efta,total-net-fdi-in-the-uk,all-activities,8278.0,
inward,2014,BPM6,efta,total-net-fdi-in-the-uk,all-activities,1955.0,
inward,2015,BPM6,efta,total-net-fdi-in-the-uk,all-activities,1313.0,
inward,2016,BPM6,efta,total-net-fdi-in-the-uk,all-activities,2705.0,
inward,2017,BPM6,efta,total-net-fdi-in-the-uk,all-activities,8484.0,
inward,2018,BPM6,efta,total-net-fdi-in-the-uk,all-activities,2868.0,
inward,2019,BPM6,efta,total-net-fdi-in-the-uk,all-activities,-1917.0,
inward,2010,BPM5,norway,total-net-fdi-in-the-uk,all-activities,147.0,
inward,2011,BPM5,norway,total-net-fdi-in-the-uk,all-activities,253.0,
inward,2012,BPM6,norway,total-net-fdi-in-the-uk,all-activities,-384.0,
inward,2013,BPM6,norway,total-net-fdi-in-the-uk,all-activities,483.0,
inward,2014,BPM6,norway,total-net-fdi-in-the-uk,all-activities,477.0,
inward,2015,BPM6,norway,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2016,BPM6,norway,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2017,BPM6,norway,total-net-fdi-in-the-uk,all-activities,569.0,
inward,2018,BPM6,norway,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2019,BPM6,norway,total-net-fdi-in-the-uk,all-activities,-97.0,
inward,2010,BPM5,switzerland,total-net-fdi-in-the-uk,all-activities,4176.0,
inward,2011,BPM5,switzerland,total-net-fdi-in-the-uk,all-activities,-2476.0,
inward,2012,BPM6,switzerland,total-net-fdi-in-the-uk,all-activities,6126.0,
inward,2013,BPM6,switzerland,total-net-fdi-in-the-uk,all-activities,7960.0,
inward,2014,BPM6,switzerland,total-net-fdi-in-the-uk,all-activities,1507.0,
inward,2015,BPM6,switzerland,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2016,BPM6,switzerland,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2017,BPM6,switzerland,total-net-fdi-in-the-uk,all-activities,7921.0,
inward,2018,BPM6,switzerland,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2019,BPM6,switzerland,total-net-fdi-in-the-uk,all-activities,-1618.0,
inward,2010,BPM5,other-european-countries,total-net-fdi-in-the-uk,all-activities,4686.0,
inward,2011,BPM5,other-european-countries,total-net-fdi-in-the-uk,all-activities,-2355.0,
inward,2012,BPM6,other-european-countries,total-net-fdi-in-the-uk,all-activities,1685.0,
inward,2013,BPM6,other-european-countries,total-net-fdi-in-the-uk,all-activities,1644.0,
inward,2014,BPM6,other-european-countries,total-net-fdi-in-the-uk,all-activities,-4875.0,
inward,2015,BPM6,other-european-countries,total-net-fdi-in-the-uk,all-activities,188.0,
inward,2016,BPM6,other-european-countries,total-net-fdi-in-the-uk,all-activities,2989.0,
inward,2017,BPM6,other-european-countries,total-net-fdi-in-the-uk,all-activities,8269.0,
inward,2018,BPM6,other-european-countries,total-net-fdi-in-the-uk,all-activities,18624.0,
inward,2019,BPM6,other-european-countries,total-net-fdi-in-the-uk,all-activities,-2152.0,
inward,2010,BPM5,russia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2011,BPM5,russia,total-net-fdi-in-the-uk,all-activities,205.0,
