Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2012,BPM6,Sweden,Total Net Fdi In The Uk,All Activities,329.0,
inward,2013,BPM6,Sweden,Total Net Fdi In The Uk,All Activities,-25.0,
inward,2014,BPM6,Sweden,Total Net Fdi In The Uk,All Activities,211.0,
inward,2015,BPM6,Sweden,Total Net Fdi In The Uk,All Activities,601.0,
inward,2016,BPM6,Sweden,Total Net Fdi In The Uk,All Activities,-13.0,
inward,2017,BPM6,Sweden,Total Net Fdi In The Uk,All Activities,225.0,
inward,2018,BPM6,Sweden,Total Net Fdi In The Uk,All Activities,117.0,
inward,2019,BPM6,Sweden,Total Net Fdi In The Uk,All Activities,745.0,
inward,2010,BPM5,Efta,Total Net Fdi In The Uk,All Activities,5194.0,
inward,2011,BPM5,Efta,Total Net Fdi In The Uk,All Activities,-2221.0,
inward,2012,BPM6,Efta,Total Net Fdi In The Uk,All Activities,5765.0,
inward,2013,BPM6,Efta,Total Net Fdi In The Uk,All Activities,8278.0,
inward,2014,BPM6,Efta,Total Net Fdi In The Uk,All Activities,1955.0,
inward,2015,BPM6,Efta,Total Net Fdi In The Uk,All Activities,1313.0,
inward,2016,BPM6,Efta,Total Net Fdi In The Uk,All Activities,2705.0,
inward,2017,BPM6,Efta,Total Net Fdi In The Uk,All Activities,8484.0,
inward,2018,BPM6,Efta,Total Net Fdi In The Uk,All Activities,2868.0,
inward,2019,BPM6,Efta,Total Net Fdi In The Uk,All Activities,-1917.0,
inward,2010,BPM5,Norway,Total Net Fdi In The Uk,All Activities,147.0,
inward,2011,BPM5,Norway,Total Net Fdi In The Uk,All Activities,253.0,
inward,2012,BPM6,Norway,Total Net Fdi In The Uk,All Activities,-384.0,
inward,2013,BPM6,Norway,Total Net Fdi In The Uk,All Activities,483.0,
inward,2014,BPM6,Norway,Total Net Fdi In The Uk,All Activities,477.0,
inward,2015,BPM6,Norway,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2016,BPM6,Norway,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2017,BPM6,Norway,Total Net Fdi In The Uk,All Activities,569.0,
inward,2018,BPM6,Norway,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2019,BPM6,Norway,Total Net Fdi In The Uk,All Activities,-97.0,
inward,2010,BPM5,Switzerland,Total Net Fdi In The Uk,All Activities,4176.0,
inward,2011,BPM5,Switzerland,Total Net Fdi In The Uk,All Activities,-2476.0,
inward,2012,BPM6,Switzerland,Total Net Fdi In The Uk,All Activities,6126.0,
inward,2013,BPM6,Switzerland,Total Net Fdi In The Uk,All Activities,7960.0,
inward,2014,BPM6,Switzerland,Total Net Fdi In The Uk,All Activities,1507.0,
inward,2015,BPM6,Switzerland,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2016,BPM6,Switzerland,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2017,BPM6,Switzerland,Total Net Fdi In The Uk,All Activities,7921.0,
inward,2018,BPM6,Switzerland,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2019,BPM6,Switzerland,Total Net Fdi In The Uk,All Activities,-1618.0,
inward,2010,BPM5,Other European Countries,Total Net Fdi In The Uk,All Activities,4686.0,
inward,2011,BPM5,Other European Countries,Total Net Fdi In The Uk,All Activities,-2355.0,
inward,2012,BPM6,Other European Countries,Total Net Fdi In The Uk,All Activities,1685.0,
inward,2013,BPM6,Other European Countries,Total Net Fdi In The Uk,All Activities,1644.0,
inward,2014,BPM6,Other European Countries,Total Net Fdi In The Uk,All Activities,-4875.0,
inward,2015,BPM6,Other European Countries,Total Net Fdi In The Uk,All Activities,188.0,
inward,2016,BPM6,Other European Countries,Total Net Fdi In The Uk,All Activities,2989.0,
inward,2017,BPM6,Other European Countries,Total Net Fdi In The Uk,All Activities,8269.0,
inward,2018,BPM6,Other European Countries,Total Net Fdi In The Uk,All Activities,18624.0,
inward,2019,BPM6,Other European Countries,Total Net Fdi In The Uk,All Activities,-2152.0,
inward,2010,BPM5,Russia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2011,BPM5,Russia,Total Net Fdi In The Uk,All Activities,205.0,
